jugg_price_rank,internal_player_id,fantasypros_id,player_name,position,nfl_team,expected_jugg_price_if_drafted,price_range_low,price_range_high,range_basis,espn_salary_cap_value,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,missing_inputs
152,nfl:gsis:00-0041399,28125,CJ Daniels,WR,LAR,8.2,1.5,14.9,historical_forward_error_p80:WR,,343.0,,6.262,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
153,nfl:gsis:00-0038359,25627,Xavier Smith,WR,LAR,8.1,1.4,14.8,historical_forward_error_p80:WR,,342.0,,6.281,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
154,nfl:gsis:00-0037091,24049,Bo Melton,WR,GB,8.0,1.3,14.7,historical_forward_error_p80:WR,,341.0,,8.536,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
155,nfl:gsis:00-0038996,25298,Tucker Kraft,TE,GB,8.0,3.0,12.9,historical_forward_error_p80:TE,2,80.0,58.0,116.94,1,
156,nfl:gsis:00-0027973,9907,Andy Dalton,QB,PHI,7.9,3.0,12.7,historical_forward_error_p80:QB,,413.0,,10.9,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
157,nfl:gsis:00-0037240,23677,Jameson Williams,WR,DET,7.9,1.3,14.6,historical_forward_error_p80:WR,14,60.0,63.0,152.828,9,
158,nfl:gsis:00-0040735,27016,Luther Burden III,WR,CHI,7.9,1.2,14.6,historical_forward_error_p80:WR,11,65.0,57.0,135.363,,prior_jugg_salary
159,nfl:gsis:00-0040194,27469,Jackson Hawes,TE,BUF,7.8,2.9,12.8,historical_forward_error_p80:TE,,313.0,,20.127,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
160,nfl:gsis:00-0040184,24372,KeAndre Lambert-Smith,WR,LAC,7.8,1.1,14.5,historical_forward_error_p80:WR,,339.0,,11.342,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
161,nfl:gsis:00-0036422,19423,Adam Trautman,TE,DEN,7.6,2.6,12.5,historical_forward_error_p80:TE,,311.0,,28.625,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
162,nfl:gsis:00-0037837,23739,Calvin Austin III,WR,NYG,7.6,1.0,14.3,historical_forward_error_p80:WR,,340.0,,39.232,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
163,nfl:gsis:00-0039065,22978,Sam LaPorta,TE,DET,7.6,2.7,12.6,historical_forward_error_p80:TE,6,59.0,61.0,111.072,8,
164,nfl:gsis:00-0034827,17265,DJ Moore,WR,BUF,7.5,1.0,14.1,historical_forward_error_p80:WR,11,55.0,62.0,139.03,2,
165,nfl:gsis:00-0040590,27449,Konata Mumpfield,WR,LAR,7.4,1.0,14.1,historical_forward_error_p80:WR,,336.0,,19.312,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
166,nfl:gsis:00-0034771,17234,Mason Rudolph,QB,PIT,7.4,2.6,12.2,historical_forward_error_p80:QB,,407.0,,6.05,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
167,nfl:gsis:00-0041395,28154,Eli Raridon,TE,NE,7.3,2.4,12.3,historical_forward_error_p80:TE,,307.0,,27.457,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
168,nfl:gsis:00-0040782,24371,Isaiah Bond,WR,CLE,7.3,1.0,14.0,historical_forward_error_p80:WR,,335.0,,20.509,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
169,nfl:gsis:00-0040429,27444,Josh Williams,RB,TB,7.3,1.2,13.4,historical_forward_error_p80:RB,,303.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
170,nfl:gsis:00-0039792,26011,Devontez Walker,WR,BAL,7.2,1.0,13.9,historical_forward_error_p80:WR,,334.0,,29.341,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
171,nfl:gsis:00-0039041,23119,Elijah Higgins,TE,ARI,7.2,2.3,12.2,historical_forward_error_p80:TE,,305.0,,23.483,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
172,nfl:gsis:00-0032464,16081,Kalif Raymond,WR,CHI,7.1,1.0,13.8,historical_forward_error_p80:WR,,333.0,,27.222,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
173,nfl:gsis:00-0037005,22795,Tommy Tremble,TE,CAR,7.1,2.2,12.1,historical_forward_error_p80:TE,,304.0,,28.225,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
174,nfl:gsis:00-0040663,27050,Harold Fannin Jr.,TE,CLE,7.0,2.1,11.9,historical_forward_error_p80:TE,6,63.0,70.0,112.505,,prior_jugg_salary
175,nfl:gsis:00-0035289,18562,Gardner Minshew II,QB,ARI,6.9,2.0,11.7,historical_forward_error_p80:QB,,402.0,,10.58,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
176,nfl:gsis:00-0038354,25616,Tanner Brown,K,NO,6.9,4.5,9.4,historical_forward_error_p80:K,,325.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
177,nfl:gsis:00-0036970,20164,Kyle Pitts Sr.,TE,ATL,6.8,1.9,11.8,historical_forward_error_p80:TE,6,56.0,71.0,116.185,3,
178,nfl:gsis:00-0039918,23084,Caleb Williams,QB,CHI,6.7,1.9,11.5,historical_forward_error_p80:QB,3,79.0,68.0,328.841,,prior_jugg_salary
179,nfl:gsis:00-0033869,16381,Mitchell Trubisky,QB,TEN,6.7,1.9,11.5,historical_forward_error_p80:QB,,400.0,,9.899,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
180,nfl:gsis:00-0035644,17527,Noah Fant,TE,NO,6.6,1.7,11.6,historical_forward_error_p80:TE,,308.0,,33.924,1,espn_salary_cap_value;adp_yahoo
181,nfl:gsis:00-0038097,24549,Cade York,K,NYJ,6.2,3.7,8.6,historical_forward_error_p80:K,,324.0,,36.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
182,nfl:gsis:00-0037228,24209,Jaylen Warren,RB,PIT,6.1,1.0,12.2,historical_forward_error_p80:RB,2,90.0,73.0,154.867,1,
183,nfl:gsis:00-0041099,25416,Barion Brown,WR,NO,6.0,1.0,12.7,historical_forward_error_p80:WR,,314.0,,7.251,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
184,nfl:gsis:00-0039144,25282,Luke Musgrave,TE,GB,6.0,1.1,11.0,historical_forward_error_p80:TE,,287.0,,26.708,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
185,nfl:gsis:00-0039921,25388,Trey Benson,RB,ARI,6.0,1.0,12.0,historical_forward_error_p80:RB,,294.0,,0.0,1,espn_salary_cap_value;adp_yahoo
186,nfl:gsis:00-0040691,23160,Jaxson Dart,QB,NYG,5.9,1.1,10.7,historical_forward_error_p80:QB,5,64.0,84.0,332.163,,prior_jugg_salary
187,nfl:gsis:00-0033077,15600,Dak Prescott,QB,DAL,5.8,1.0,10.7,historical_forward_error_p80:QB,4,72.0,72.0,337.099,5,
188,nfl:gsis:00-0041443,28126,Skyler Bell,WR,BUF,5.7,1.0,12.4,historical_forward_error_p80:WR,,312.0,,18.251,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
189,nfl:gsis:00-0037692,26068,Brandon Aubrey,K,DAL,5.6,3.2,8.1,historical_forward_error_p80:K,1,71.0,82.0,153.03,5,
190,nfl:gsis:00-0039739,28896,Roman Wilson,WR,PIT,5.6,1.0,12.3,historical_forward_error_p80:WR,,310.0,,17.047,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
191,nfl:gsis:00-0036875,22726,Rhamondre Stevenson,RB,NE,5.3,1.0,11.3,historical_forward_error_p80:RB,7,77.0,76.0,152.322,1,
192,nfl:gsis:00-0041069,26037,Colbie Young,WR,CIN,5.2,1.0,11.9,historical_forward_error_p80:WR,,306.0,,25.389,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
193,nfl:gsis:00-0035249,18487,Josh Oliver,TE,MIN,5.2,1.0,10.2,historical_forward_error_p80:TE,,275.0,,33.534,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
194,nfl:gsis:00-0039356,24334,Ja'Tavion Sanders,TE,CAR,5.0,1.0,10.0,historical_forward_error_p80:TE,,270.0,,23.915,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
195,nfl:gsis:00-0040563,27445,Efton Chism III,WR,NE,4.9,1.0,11.6,historical_forward_error_p80:WR,,292.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
196,nfl:gsis:00-0035261,18705,Tony Pollard,RB,TEN,4.9,1.0,10.9,historical_forward_error_p80:RB,2,96.0,81.0,155.888,4,
197,nfl:gsis:00-0035358,19058,Chase McLaughlin,K,TB,4.8,2.4,7.3,historical_forward_error_p80:K,0,215.0,219.0,132.85,,prior_jugg_salary
198,nfl:gsis:00-0040506,27805,Myles Price,WR,MIN,4.8,1.0,11.5,historical_forward_error_p80:WR,,291.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
199,nfl:gsis:00-0037252,23153,Greg Dulcich,TE,MIA,4.7,1.0,9.6,historical_forward_error_p80:TE,0,,198.0,78.94,,adp_espn;prior_jugg_salary
200,nfl:gsis:00-0029892,11798,Kyle Juszczyk,RB,SF,4.7,1.0,10.8,historical_forward_error_p80:RB,,273.0,,31.154,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
201,nfl:gsis:00-0038547,25267,Luke Schoonmaker,TE,DAL,4.7,1.0,9.7,historical_forward_error_p80:TE,,263.0,,17.792,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
202,nfl:gsis:00-0035662,18226,Hollywood Brown,WR,PHI,4.6,1.0,11.3,historical_forward_error_p80:WR,,309.0,,52.858,2,espn_salary_cap_value;adp_yahoo
203,nfl:gsis:00-0031408,12119,Mike Evans,WR,SF,4.6,1.0,11.3,historical_forward_error_p80:WR,6,82.0,65.0,136.414,30,
204,nfl:gsis:00-0036355,18635,Justin Herbert,QB,LAC,4.5,1.0,9.3,historical_forward_error_p80:QB,3,99.0,69.0,325.801,15,
205,nfl:gsis:00-0041483,23144,Eli Stowers,TE,PHI,4.4,1.0,9.4,historical_forward_error_p80:TE,,260.0,,28.685,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
206,nfl:gsis:00-0036971,19780,Trevor Lawrence,QB,JAX,4.4,1.0,9.2,historical_forward_error_p80:QB,4,81.0,80.0,333.204,1,
207,nfl:gsis:00-0031203,13731,Cairo Santos,K,CHI,4.3,1.8,6.8,historical_forward_error_p80:K,0,187.0,224.0,133.31,,prior_jugg_salary
208,nfl:gsis:00-0036555,19792,Chuba Hubbard,RB,CAR,4.3,1.0,10.3,historical_forward_error_p80:RB,2,112.0,77.0,137.084,19,
209,nfl:gsis:00-0033288,16499,George Kittle,TE,SF,4.3,1.0,9.3,historical_forward_error_p80:TE,2,88.0,86.0,109.381,22,
210,nfl:gsis:00-0023853,9443,Matt Prater,K,FA,4.3,1.9,6.8,historical_forward_error_p80:K,,298.0,,0.0,1,espn_salary_cap_value;adp_yahoo
211,nfl:gsis:00-0040739,23004,Elijah Arroyo,TE,SEA,4.2,1.0,9.2,historical_forward_error_p80:TE,,256.0,,29.114,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
212,nfl:gsis:00-0036754,23341,Brock Wright,TE,DET,4.1,1.0,9.1,historical_forward_error_p80:TE,,255.0,,32.529,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
213,nfl:gsis:00-0041438,26009,Carnell Tate,WR,TEN,4.1,1.0,10.8,historical_forward_error_p80:WR,7,66.0,75.0,113.203,,prior_jugg_salary
214,nfl:gsis:00-0036637,19539,Noah Gray,TE,KC,4.1,1.0,9.0,historical_forward_error_p80:TE,,254.0,,29.918,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
215,nfl:gsis:00-0040131,27487,Kyle Williams,WR,NE,4.0,1.0,10.7,historical_forward_error_p80:WR,,286.0,,15.617,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
216,nfl:gsis:00-0039164,24347,Anthony Richardson Sr.,QB,IND,3.9,1.0,8.7,historical_forward_error_p80:QB,,377.0,,11.36,1,espn_salary_cap_value;adp_yahoo
217,nfl:gsis:00-0040277,27810,Jahdae Walker,WR,CHI,3.9,1.0,10.6,historical_forward_error_p80:WR,,288.0,,39.657,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
218,nfl:gsis:00-0041496,27320,Jonah Coleman,RB,DEN,3.9,1.0,10.0,historical_forward_error_p80:RB,1,230.0,184.0,39.222,,prior_jugg_salary
219,nfl:gsis:00-0038454,25360,Keaton Mitchell,RB,LAC,3.9,1.0,10.0,historical_forward_error_p80:RB,1,206.0,199.0,68.866,,prior_jugg_salary
220,nfl:gsis:00-0033555,16489,Mack Hollins,WR,NE,3.9,1.0,10.6,historical_forward_error_p80:WR,,285.0,,17.22,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
221,nfl:gsis:00-0039811,23118,MarShawn Lloyd,RB,GB,3.9,1.0,10.0,historical_forward_error_p80:RB,0,,200.0,45.485,,adp_espn;prior_jugg_salary
222,nfl:gsis:00-0038129,23181,Cade Otton,TE,TB,3.8,1.0,8.7,historical_forward_error_p80:TE,0,,,74.055,,adp_espn;adp_yahoo;prior_jugg_salary
223,nfl:def:HOU,8120,Houston Texans,DEF,HOU,3.8,2.0,5.7,historical_forward_error_p80:DEF,1,73.0,90.0,124.43,10,
224,nfl:gsis:00-0039751,23135,Jordan Whittington,WR,LAR,3.8,1.0,10.5,historical_forward_error_p80:WR,,284.0,,19.952,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
225,nfl:gsis:00-0039404,26341,Will Reichard,K,MIN,3.8,1.3,6.3,historical_forward_error_p80:K,0,178.0,220.0,130.72,,prior_jugg_salary
226,nfl:gsis:00-0034173,17575,Eddy Pineiro,K,SF,3.7,1.3,6.2,historical_forward_error_p80:K,1,146.0,222.0,132.62,,prior_jugg_salary
227,nfl:gsis:00-0036854,23297,Evan McPherson,K,CIN,3.7,1.2,6.1,historical_forward_error_p80:K,0,202.0,221.0,128.72,1,
228,nfl:gsis:00-0026498,9451,Matthew Stafford,QB,LAR,3.7,1.0,8.5,historical_forward_error_p80:QB,4,69.0,100.0,327.994,1,
229,nfl:gsis:00-0036139,19647,Rico Dowdle,RB,PIT,3.7,1.0,9.7,historical_forward_error_p80:RB,3,98.0,85.0,148.47,1,
230,nfl:gsis:00-0030506,11594,Travis Kelce,TE,KC,3.7,1.0,8.6,historical_forward_error_p80:TE,2,85.0,91.0,107.06,4,
231,nfl:gsis:00-0041051,28132,Zavion Thomas,WR,CHI,3.7,1.0,10.4,historical_forward_error_p80:WR,,283.0,,22.412,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
232,nfl:gsis:00-0037809,23982,Chig Okonkwo,TE,WAS,3.6,1.0,8.6,historical_forward_error_p80:TE,0,225.0,149.0,73.401,,prior_jugg_salary
233,nfl:gsis:00-0040584,27109,Gunnar Helm,TE,TEN,3.6,1.0,8.5,historical_forward_error_p80:TE,0,,,62.668,,adp_espn;adp_yahoo;prior_jugg_salary
234,nfl:gsis:00-0036158,19245,J.K. Dobbins,RB,DEN,3.6,1.0,9.6,historical_forward_error_p80:RB,2,108.0,92.0,156.647,10,
235,nfl:gsis:00-0041397,28435,Kaden Wetjen,WR,PIT,3.6,1.0,10.3,historical_forward_error_p80:WR,,277.0,,1.608,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
236,nfl:gsis:00-0034829,17272,Mike Gesicki,TE,CIN,3.6,1.0,8.6,historical_forward_error_p80:TE,0,,,64.669,,adp_espn;adp_yahoo;prior_jugg_salary
237,nfl:gsis:00-0040074,27534,Tyler Loop,K,BAL,3.6,1.1,6.1,historical_forward_error_p80:K,1,169.0,218.0,132.06,,prior_jugg_salary
238,nfl:gsis:00-0040200,27291,Andy Borregales,K,NE,3.5,1.0,5.9,historical_forward_error_p80:K,,,223.0,119.37,,espn_salary_cap_value;adp_espn;prior_jugg_salary
239,nfl:gsis:00-0039794,24346,Braelon Allen,RB,NYJ,3.5,1.0,9.5,historical_forward_error_p80:RB,0,,,82.68,,adp_espn;adp_yahoo;prior_jugg_salary
240,nfl:gsis:00-0038124,23886,Christian Watson,WR,GB,3.5,1.0,10.2,historical_forward_error_p80:WR,6,86.0,66.0,137.579,3,
241,nfl:gsis:00-0036244,19372,Colby Parkinson,TE,LAR,3.5,1.0,8.5,historical_forward_error_p80:TE,0,,,57.858,,adp_espn;adp_yahoo;prior_jugg_salary
242,nfl:gsis:00-0041182,28175,Drew Stevens,K,WAS,3.5,1.0,5.9,historical_forward_error_p80:K,,262.0,,116.79,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
243,nfl:gsis:00-0039066,23056,Michael Mayer,TE,LV,3.5,1.0,8.4,historical_forward_error_p80:TE,0,,,50.138,,adp_espn;adp_yahoo;prior_jugg_salary
244,nfl:gsis:00-0040583,27520,Woody Marks,RB,HOU,3.5,1.0,9.5,historical_forward_error_p80:RB,1,148.0,197.0,100.575,,prior_jugg_salary
245,nfl:gsis:00-0038611,22986,Chris Rodriguez Jr.,RB,JAX,3.4,1.0,9.5,historical_forward_error_p80:RB,1,180.0,194.0,90.219,,prior_jugg_salary
246,nfl:gsis:00-0034975,18256,Justice Hill,RB,BAL,3.4,1.0,9.5,historical_forward_error_p80:RB,0,,,79.414,,adp_espn;adp_yahoo;prior_jugg_salary
247,nfl:gsis:00-0041052,28401,Kaelon Black,RB,SF,3.4,1.0,9.5,historical_forward_error_p80:RB,0,,,78.065,,adp_espn;adp_yahoo;prior_jugg_salary
248,nfl:def:TEN,8300,Tennessee Titans,DEF,TEN,3.4,1.6,5.3,historical_forward_error_p80:DEF,,272.0,,99.54,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
249,nfl:gsis:00-0039849,23064,Marvin Harrison Jr.,WR,ARI,3.3,1.0,10.0,historical_forward_error_p80:WR,7,76.0,74.0,129.995,19,
250,nfl:gsis:00-0040203,25972,Will Howard,QB,PIT,3.3,1.0,8.1,historical_forward_error_p80:QB,,360.0,,7.347,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
251,nfl:gsis:00-0041104,28084,Demond Claiborne,RB,MIN,3.2,1.0,9.3,historical_forward_error_p80:RB,0,,,12.193,,adp_espn;adp_yahoo;prior_jugg_salary
252,nfl:gsis:00-0038705,25654,Emari Demercado,RB,KC,3.2,1.0,9.3,historical_forward_error_p80:RB,0,,,66.35,,adp_espn;adp_yahoo;prior_jugg_salary
253,nfl:gsis:00-0039498,26638,Harrison Mevis,K,LAR,3.2,1.0,5.7,historical_forward_error_p80:K,1,120.0,203.0,136.89,,prior_jugg_salary
254,nfl:gsis:00-0040886,24343,Nicholas Singleton,RB,TEN,3.2,1.0,9.2,historical_forward_error_p80:RB,0,,,15.448,,adp_espn;adp_yahoo;prior_jugg_salary
255,nfl:gsis:00-0036816,23370,Riley Patterson,K,MIA,3.2,1.0,5.7,historical_forward_error_p80:K,,258.0,,114.71,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
256,nfl:gsis:00-0035537,18406,Ty Johnson,RB,BUF,3.2,1.0,9.3,historical_forward_error_p80:RB,0,,,69.659,,adp_espn;adp_yahoo;prior_jugg_salary
257,nfl:gsis:00-0040888,24367,Adam Randall,RB,BAL,3.1,1.0,9.1,historical_forward_error_p80:RB,0,,,56.227,,adp_espn;adp_yahoo;prior_jugg_salary
258,nfl:gsis:00-0038935,25345,Brenton Strange,TE,JAX,3.1,1.0,8.0,historical_forward_error_p80:TE,1,185.0,167.0,91.704,,prior_jugg_salary
259,nfl:gsis:00-0034351,17270,Dallas Goedert,TE,PHI,3.1,1.0,8.1,historical_forward_error_p80:TE,2,87.0,106.0,113.851,1,
260,nfl:gsis:00-0040673,22884,Jalen Milroe,QB,SEA,3.1,1.0,8.0,historical_forward_error_p80:QB,,359.0,,10.1,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
261,nfl:gsis:00-0040177,27310,Jordan James,RB,SF,3.1,1.0,9.2,historical_forward_error_p80:RB,0,,,61.913,,adp_espn;adp_yahoo;prior_jugg_salary
262,nfl:gsis:00-0036988,22845,Joshua Palmer,WR,BUF,3.1,1.0,9.8,historical_forward_error_p80:WR,,274.0,,43.832,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
263,nfl:gsis:00-0041096,24362,Kaytron Allen,RB,WAS,3.1,1.0,9.2,historical_forward_error_p80:RB,0,,,18.497,,adp_espn;adp_yahoo;prior_jugg_salary
264,nfl:gsis:00-0040878,28108,Mike Washington Jr.,RB,LV,3.1,1.0,9.2,historical_forward_error_p80:RB,0,220.0,163.0,67.87,,prior_jugg_salary
265,nfl:gsis:00-0040189,25997,Oronde Gadsden II,TE,LAC,3.1,1.0,8.0,historical_forward_error_p80:TE,0,,151.0,63.29,,adp_espn;prior_jugg_salary
266,nfl:gsis:00-0040208,26212,Tahj Brooks,RB,CIN,3.1,1.0,9.2,historical_forward_error_p80:RB,0,,,18.242,,adp_espn;adp_yahoo;prior_jugg_salary
267,nfl:gsis:00-0039746,22930,Will Shipley,RB,PHI,3.1,1.0,9.2,historical_forward_error_p80:RB,0,,,16.283,,adp_espn;adp_yahoo;prior_jugg_salary
268,nfl:gsis:00-0039793,26335,AJ Barner,TE,SEA,3.0,1.0,8.0,historical_forward_error_p80:TE,0,207.0,147.0,75.809,,prior_jugg_salary
269,nfl:gsis:00-0038710,25657,Blake Whiteheart,TE,CLE,3.0,1.0,7.9,historical_forward_error_p80:TE,,,,0.0,,espn_salary_cap_value;adp_espn;adp_yahoo;prior_jugg_salary
270,nfl:gsis:00-0038685,25823,Chris Brooks,RB,GB,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,49.821,,adp_espn;adp_yahoo;prior_jugg_salary
271,nfl:gsis:00-0040179,27097,DJ Giddens,RB,IND,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,27.397,,adp_espn;adp_yahoo;prior_jugg_salary
272,nfl:gsis:00-0038797,25885,Emanuel Wilson,RB,SEA,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,43.641,,adp_espn;adp_yahoo;prior_jugg_salary
273,nfl:gsis:00-0041013,28107,Emmett Johnson,RB,KC,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,29.493,,adp_espn;adp_yahoo;prior_jugg_salary
274,nfl:gsis:00-0039299,22915,George Holani,RB,SEA,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,33.116,,adp_espn;adp_yahoo;prior_jugg_salary
275,nfl:gsis:00-0039798,25977,Isaiah Davis,RB,NYJ,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,33.442,,adp_espn;adp_yahoo;prior_jugg_salary
276,nfl:gsis:00-0039874,25987,Jaylen Wright,RB,MIA,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,43.558,,adp_espn;adp_yahoo;prior_jugg_salary
277,nfl:gsis:00-0037755,23829,Jelani Woods,TE,NYJ,3.0,1.0,7.9,historical_forward_error_p80:TE,,,,0.0,,espn_salary_cap_value;adp_espn;adp_yahoo;prior_jugg_salary
278,nfl:gsis:00-0038720,25824,Julian Hill,TE,NE,3.0,1.0,7.9,historical_forward_error_p80:TE,,,,0.0,,espn_salary_cap_value;adp_espn;adp_yahoo;prior_jugg_salary
279,nfl:gsis:00-0039391,26355,Kimani Vidal,RB,LAC,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,47.15,,adp_espn;adp_yahoo;prior_jugg_salary
280,nfl:gsis:00-0040238,27285,LeQuint Allen Jr.,RB,JAX,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,28.553,,adp_espn;adp_yahoo;prior_jugg_salary
281,nfl:gsis:00-0037539,24240,Lucas Krull,TE,DEN,3.0,1.0,7.9,historical_forward_error_p80:TE,,,,0.0,,espn_salary_cap_value;adp_espn;adp_yahoo;prior_jugg_salary
282,nfl:gsis:00-0040198,25984,Ollie Gordon II,RB,MIA,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,30.881,,adp_espn;adp_yahoo;prior_jugg_salary
283,nfl:gsis:00-0040021,22928,Phil Mafah,RB,DAL,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,26.717,,adp_espn;adp_yahoo;prior_jugg_salary
284,nfl:gsis:00-0036590,22820,Quintin Morris,TE,JAX,3.0,1.0,7.9,historical_forward_error_p80:TE,,,,0.0,,espn_salary_cap_value;adp_espn;adp_yahoo;prior_jugg_salary
285,nfl:gsis:00-0039875,26191,Ray Davis,RB,BUF,3.0,1.0,9.1,historical_forward_error_p80:RB,1,,,28.108,,adp_espn;adp_yahoo;prior_jugg_salary
286,nfl:gsis:00-0038951,23679,Sean Tucker,RB,TB,3.0,1.0,9.1,historical_forward_error_p80:RB,0,,,30.641,,adp_espn;adp_yahoo;prior_jugg_salary
287,nfl:gsis:00-0039732,22910,Bo Nix,QB,DEN,2.9,1.0,7.7,historical_forward_error_p80:QB,4,75.0,99.0,324.987,8,
288,nfl:def:GB,8110,Green Bay Packers,DEF,GB,2.9,1.0,4.7,historical_forward_error_p80:DEF,0,193.0,215.0,99.06,,prior_jugg_salary
289,nfl:gsis:00-0036894,20163,Pat Freiermuth,TE,PIT,2.9,1.0,7.8,historical_forward_error_p80:TE,0,201.0,139.0,81.141,,prior_jugg_salary
290,nfl:gsis:00-0039152,22987,Will Levis,QB,TEN,2.9,1.0,7.7,historical_forward_error_p80:QB,,356.0,,12.34,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
291,nfl:gsis:00-0037834,19797,Brock Purdy,QB,SF,2.8,1.0,7.6,historical_forward_error_p80:QB,4,92.0,94.0,335.213,1,
292,nfl:gsis:00-0038567,25354,Chad Ryland,K,ARI,2.8,1.0,5.2,historical_forward_error_p80:K,,251.0,,111.66,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
293,nfl:gsis:00-0031610,14104,Darren Waller,TE,CAR,2.8,1.0,7.7,historical_forward_error_p80:TE,0,,,70.414,9,adp_espn;adp_yahoo
294,nfl:gsis:00-0039172,26075,Jake Bates,K,DET,2.8,1.0,5.2,historical_forward_error_p80:K,1,154.0,216.0,135.87,1,
295,nfl:gsis:00-0036040,19562,Juwan Johnson,TE,NO,2.8,1.0,7.7,historical_forward_error_p80:TE,0,167.0,168.0,90.045,,prior_jugg_salary
296,nfl:gsis:00-0040236,27131,Kyle Monangai,RB,CHI,2.8,1.0,8.9,historical_forward_error_p80:RB,2,118.0,104.0,133.328,,prior_jugg_salary
297,nfl:def:LAC,8250,Los Angeles Chargers,DEF,LAC,2.8,1.0,4.7,historical_forward_error_p80:DEF,0,168.0,217.0,112.59,,prior_jugg_salary
298,nfl:gsis:00-0039893,23000,Brian Thomas Jr.,WR,JAX,2.7,1.0,9.4,historical_forward_error_p80:WR,4,93.0,79.0,123.049,38,
299,nfl:gsis:00-0033246,16743,Johnny Mundt,TE,PHI,2.7,1.0,7.6,historical_forward_error_p80:TE,,,,4.759,,espn_salary_cap_value;adp_espn;adp_yahoo;prior_jugg_salary
300,nfl:gsis:00-0038606,23106,Parker Washington,WR,JAX,2.7,1.0,9.4,historical_forward_error_p80:WR,5,84.0,78.0,121.805,,prior_jugg_salary
301,nfl:gsis:00-0038555,22908,Tank Bigsby,RB,PHI,2.7,1.0,8.8,historical_forward_error_p80:RB,1,203.0,186.0,78.354,1,
302,nfl:gsis:00-0041084,27499,Tanner Koziol,TE,JAX,2.7,1.0,7.6,historical_forward_error_p80:TE,,,,5.288,,espn_salary_cap_value;adp_espn;adp_yahoo;prior_jugg_salary
